ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
C47455,"-23,01291","-43,46313",1780399288000,17,554,1780399297000,1780399326000,2026-06-02 09:21:55
C47811,"-22,96121","-43,2123",1780399289000,7,SV319,1780399297000,1780399326000,2026-06-02 09:21:55
C47897,"-22,92422","-43,2825",1780399234000,29,306,1780399297000,1780399326000,2026-06-02 09:21:55
C47741,"-22,91677","-43,27671",1780399290000,38,390,1780399297000,1780399326000,2026-06-02 09:21:55
D13017,"-22,96746","-43,33578",1780399239000,17,863,1780399297000,1780399326000,2026-06-02 09:21:55
C47682,"-23,0131","-43,46266",1780399289000,20,553,1780399297000,1780399326000,2026-06-02 09:21:55
C47472,"-23,02493","-43,45744",1780399290000,22,361,1780399297000,1780399326000,2026-06-02 09:21:55
C30046,"-23,00891","-43,29001",1780399289000,20,557,1780399297000,1780399326000,2026-06-02 09:21:55
C47897,"-22,92417","-43,28218",1780399238000,29,306,1780399297000,1780399326000,2026-06-02 09:21:55
C13006,"-22,93879","-43,34507",1780399291000,0,341,1780399297000,1780399326000,2026-06-02 09:21:55
D13017,"-22,96683","-43,33562",1780399269000,0,863,1780399297000,1780399326000,2026-06-02 09:21:55
D13281,"-22,88293","-43,28778",1780399277000,70,611,1780399297000,1780399326000,2026-06-02 09:21:55
C30040,"-22,93868","-43,34537",1780399288000,0,565,1780399297000,1780399326000,2026-06-02 09:21:55
C30037,"-22,92705","-43,34514",1780399291000,0,932,1780399297000,1780399326000,2026-06-02 09:21:55
D13270,"-22,98257","-43,46329",1780399290000,39,613,1780399297000,1780399326000,2026-06-02 09:21:55
C47970,"-22,92145","-43,33017",1780399261000,30,2614,1780399297000,1780399326000,2026-06-02 09:21:55
C47897,"-22,92401","-43,28199",1780399241000,30,306,1780399297000,1780399326000,2026-06-02 09:21:55
D13273,"-23,0016","-43,36694",1780399290000,0,880,1780399297000,1780399326000,2026-06-02 09:21:55
C30363,"-22,99228","-43,251",1780399290000,11,555,1780399297000,1780399326000,2026-06-02 09:21:55
C47619,"-22,9563","-43,34713",1780399291000,0,368,1780399297000,1780399326000,2026-06-02 09:21:55
C47897,"-22,92369","-43,2819",1780399245000,31,306,1780399297000,1780399326000,2026-06-02 09:21:55
C47688,"-22,9905","-43,50296",1780399289000,52,554,1780399297000,1780399326000,2026-06-02 09:21:55
C30349,"-22,97886","-43,22205",1780399290000,13,550,1780399297000,1780399326000,2026-06-02 09:21:55
D13046,"-22,92431","-43,36132",1780399290000,0,601,1780399297000,1780399326000,2026-06-02 09:21:55
D13302,"-22,9901","-43,3218",1780399290000,0,878,1780399297000,1780399326000,2026-06-02 09:21:55
C47758,"-22,94094","-43,18238",1780398930000,1,319,1780399297000,1780399326000,2026-06-02 09:21:55
D13236,"-22,95812","-43,35125",1780399290000,7,880,1780399297000,1780399326000,2026-06-02 09:21:55
C47579,"-22,99981","-43,37001",1780399290000,57,553,1780399297000,1780399326000,2026-06-02 09:21:55
